发布者;真实一级评论数;真实点赞数;边数;最大边数;集群密度
Phodal;13;181;194;13878;0.013978959504251333
Silver__Bullets;1;1;2;13878;0.00014411298457991066
宝玉xp;4;42;46;13878;0.0033145986453379447
Microsoft信仰中心;25;166;191;13878;0.013762790027381467
玩转互联网磊哥;-218;738;520;13878;0.03746937599077677
玩转互联网磊哥;7;738;745;13878;0.05368208675601672
超能科技菌;290;848;1138;13878;0.08200028822596916
超能科技菌;320;848;1168;13878;0.08416198299466782
虎哥说科技;3;361;364;13878;0.02622856319354374
虎哥说科技;3;361;364;13878;0.02622856319354374
互联网Josh;878;13000;13878;13878;1.0
互联网科技报;149;159;308;13878;0.02219339962530624
互联网科技报;134;159;293;13878;0.02111255224095691
差评君;7;38;45;13878;0.00324254215304799
差评君;7;38;45;13878;0.00324254215304799
科技大佬说;6;40;46;13878;0.0033145986453379447
微天下;5;9;14;13878;0.0010087908920593746
头条新闻;-52;557;505;13878;0.03638852860642744
新浪热点;122;697;819;13878;0.05901426718547341
新浪热点;-144;697;553;13878;0.0398472402363453
IT氪;6;59;65;13878;0.0046836719988470965
新浪科技;11;26;37;13878;0.002666090214728347
新浪新闻;4;12;16;13878;0.0011529038766392853
TechWeb;1;1;2;13878;0.00014411298457991066
TechWeb;1;1;2;13878;0.00014411298457991066
时空传书;1;3;4;13878;0.0002882259691598213
电商氪;6;59;65;13878;0.0046836719988470965
出门问问;-2;4;2;13878;0.00014411298457991066
ZitroneQ;3;1;4;13878;0.0002882259691598213
杨国英观察;2;1;3;13878;0.00021616947686986597
陶说泛财经;1;9;10;13878;0.0007205649228995533
福布斯中文网;1;12;13;13878;0.0009367343997694192
炒股小队长;-1;10;9;13878;0.0006485084306095979
炒股小队长;1;10;11;13878;0.0007926214151895086
互联网三爷;2;85;87;13878;0.0062689148292261136
Microsoft信仰中心;-17;31;14;13878;0.0010087908920593746
姬永锋;0;30;30;13878;0.00216169476869866
林亦LYi;-2;76;74;13878;0.005332180429456694
林亦LYi;4;76;80;13878;0.005764519383196426
Microsoft信仰中心;-29;20;-9;13878;-0.0006485084306095979
姬永锋;7;30;37;13878;0.002666090214728347
互联网三爷;2;85;87;13878;0.0062689148292261136
我是二姐夫;-3;125;122;13878;0.00879089205937455
